time,event,qty
19536,1,1
19152,1,1
19128,1,1
18336,1,2
18288,1,1
18144,1,1
17952,1,1
17928,1,1
17808,1,1
17616,1,1
16848,1,1
16800,1,1
16608,1,2
16512,1,1
16440,1,1
16392,1,1
16200,1,1
15984,1,1
15936,1,1
15720,1,1
15624,1,1
15144,1,3
14208,1,1
13512,1,1
12528,1,1
12240,1,1
19608,1,3
19320,1,2
19248,1,1
19224,1,1
18720,1,1
18576,1,1
18192,1,1
18096,1,1
18024,1,1
17976,1,2
17952,1,1
17880,1,1
17832,1,1
17568,1,2
17304,1,1
17280,1,1
17136,1,1
16992,1,1
16824,1,1
16776,1,1
16680,1,1
16560,1,4
16416,1,1
16392,1,2
16344,1,1
16320,1,2
16152,1,1
16032,1,2
16008,1,1
15960,1,2
15912,1,2
15888,1,1
15840,1,2
15816,1,1
15648,1,1
15360,1,1
15312,1,1
19416,1,3
19272,1,1
19152,1,1
19128,1,1
19008,1,1
18984,1,2
18816,1,1
18552,1,1
18480,1,1
18264,1,1
18240,1,3
18216,1,2
18144,1,1
18120,1,1
18072,1,1
18048,1,4
17952,1,1
17448,1,1
16920,1,1
16656,1,1
16632,1,1
16440,1,1
16392,1,2
16368,1,2
16320,1,1
16296,1,3
16272,1,1
16248,1,2
16224,1,1
16200,1,3
16176,1,1
16056,1,1
16032,1,2
15888,1,1
15840,1,1
15768,1,1
15624,1,1
15216,1,1
15192,1,1
15144,1,2
15120,1,1
15048,1,3
15000,1,1
14904,1,1
12840,1,1
12000,1,2
10440,1,1
5496,1,1
2712,1,1
17376,1,1
19008,1,1
18840,1,1
18648,1,1
18624,1,3
18600,1,1
18576,1,1
18480,1,2
18432,1,1
18360,1,1
18168,1,1
18024,1,1
17832,1,2
17784,1,1
17712,1,3
17688,1,1
17376,1,1
17352,1,1
16920,1,1
16584,1,1
16392,1,1
16344,1,2
16224,1,1
16200,1,5
16176,1,2
16128,1,4
16080,1,1
16056,1,3
16032,1,1
16008,1,1
15888,1,1
15816,1,1
15768,1,1
15744,1,1
15720,1,2
15696,1,2
15672,1,4
15600,1,1
15552,1,1
15480,1,1
15432,1,1
15336,1,1
15312,1,3
15264,1,2
15240,1,1
15216,1,1
15168,1,1
14928,1,1
14904,1,1
14880,1,1
14856,1,1
14808,1,1
14760,1,2
14736,1,2
14472,1,1
14424,1,1
13224,1,1
12288,1,1
11640,1,1
6072,1,1
3120,1,1
3048,1,1
1512,1,1
840,1,1
744,1,1
528,1,1
408,1,1
17808,1,1
19104,1,1
19032,1,1
18624,1,1
18264,1,1
17280,1,1
17112,1,1
16416,1,1
15912,1,2
15768,1,3
15720,1,1
17184,1,1
17880,1,1
18048,1,2
17856,1,1
17568,1,1
17520,1,2
17496,1,3
17472,1,2
17376,1,1
17304,1,1
17088,1,2
16536,1,2
16416,1,1
16320,1,1
16224,1,1
16056,1,2
16008,1,2
15984,1,1
15840,1,2
15792,1,2
15768,1,1
15696,1,1
15672,1,1
15648,1,1
15576,1,1
15552,1,2
15528,1,1
15480,1,1
15408,1,1
15336,1,1
15192,1,1
15024,1,2
14880,1,1
14808,1,2
14784,1,49
14736,1,1
14664,1,2
14568,1,1
14448,1,1
14400,1,1
14208,1,1
14136,1,1
14112,1,1
14064,1,1
13944,1,1
13920,1,2
13800,1,3
13776,1,1
13752,1,1
13704,1,1
13656,1,1
13632,1,2
13608,1,2
13584,1,1
13560,1,2
13536,1,2
13512,1,15
13344,1,1
13320,1,11
13296,1,1
13272,1,7
13200,1,14
13176,1,1
12816,1,1
12120,1,1
11448,1,1
10968,1,1
10656,1,1
10536,1,1
10344,1,1
10176,1,1
10104,1,1
9408,1,1
2424,1,1
1728,1,1
1704,1,1
1608,1,2
12048,1,1
17808,1,3
17784,1,1
17760,1,1
17664,1,1
17568,1,1
17472,1,1
17448,1,2
17400,1,1
17376,1,1
17352,1,3
17328,1,1
17304,1,1
17256,1,1
17232,1,2
17184,1,1
17160,1,1
17112,1,1
17064,1,1
16848,1,1
16704,1,1
16608,1,4
16584,1,1
16560,1,1
16512,1,2
16464,1,3
16440,1,5
16368,1,1
16320,1,1
16176,1,1
15792,1,1
15720,1,1
15600,1,1
15504,1,1
15480,1,1
15192,1,1
15048,1,2
14736,1,2
14712,1,1
14568,1,2
14544,1,2
14520,1,1
14496,1,2
14472,1,2
14280,1,1
14256,1,1
14208,1,1
14184,1,1
14088,1,1
14040,1,1
13968,1,1
13944,1,3
13920,1,2
13896,1,1
13776,1,1
13752,1,1
13680,1,2
13656,1,1
13536,1,2
13488,1,1
13416,1,1
13272,1,2
12312,1,1
12216,1,1
11472,1,1
10704,1,1
10416,1,1
10368,1,1
10224,1,1
10176,1,1
9984,1,1
8880,1,1
7920,1,1
7632,1,1
6816,1,1
1680,1,1
1464,1,2
792,1,1
17832,1,1
17784,1,2
17760,1,1
17712,1,1
17688,1,3
17640,1,1
17568,1,1
17496,1,1
17376,1,1
17352,1,1
17328,1,1
17304,1,1
17160,1,1
16872,1,1
16680,1,1
16584,1,8
16320,1,2
16224,1,1
16032,1,1
15936,1,1
15840,1,1
15672,1,1
15312,1,1
15168,1,2
15072,1,1
14760,1,3
14736,1,2
14712,1,1
14688,1,1
14664,1,3
14640,1,2
14616,1,1
14592,1,4
14520,1,1
14496,1,1
14472,1,1
14448,1,4
14424,1,3
14400,1,2
14376,1,1
14208,1,2
14184,1,2
14160,1,1
14136,1,2
14112,1,2
14088,1,2
14064,1,2
14040,1,1
14016,1,1
13992,1,2
13968,1,2
13920,1,1
13896,1,5
13848,1,1
13584,1,1
13560,1,1
13536,1,2
13512,1,4
13488,1,2
13464,1,3
13416,1,1
13200,1,2
12696,1,1
12024,1,1
11760,1,1
10344,1,1
8496,1,1
4632,1,1
4512,1,1
1704,1,1
1680,1,1
1536,1,2
1488,1,1
17832,1,1
17808,1,2
17784,1,1
17760,1,1
17472,1,1
17352,1,2
17304,1,1
17256,1,1
17232,1,1
17112,1,1
17088,1,1
16824,1,1
16800,1,2
16560,1,1
16368,1,1
16344,1,1
16320,1,3
16152,1,1
16080,1,1
16032,1,1
15864,1,1
15768,1,1
15672,1,1
15648,1,1
15576,1,1
15504,1,1
15216,1,1
14928,1,1
14904,1,1
14784,1,2
14760,1,1
14712,1,1
14688,1,1
14664,1,1
14640,1,1
14616,1,1
14568,1,2
14544,1,2
14496,1,3
14472,1,1
14448,1,3
14424,1,2
14400,1,1
14376,1,1
14328,1,2
14184,1,1
14088,1,2
14064,1,1
14016,1,1
13992,1,2
13944,1,1
13896,1,1
13824,1,1
13800,1,1
13728,1,1
13704,1,1
13680,1,1
13632,1,1
13608,1,1
13584,1,1
13560,1,1
13536,1,2
13512,1,1
13488,1,1
13440,1,2
13416,1,1
13392,1,1
13200,1,1
12960,1,1
12696,1,1
12240,1,1
11736,1,1
11448,1,1
10584,1,1
9288,1,1
6960,1,1
6216,1,1
5016,1,1
2376,1,1
1536,1,2
1488,1,1
17664,1,1
17640,1,1
17400,1,1
17232,1,1
15120,1,1
15048,1,1
14760,1,1
14736,1,1
14352,1,1
13584,1,1
13440,1,1
13392,1,1
13344,1,1
13224,1,1
13104,1,1
12768,1,1
12192,1,1
9720,1,1
9456,1,1
2184,1,1
1584,1,1
1464,1,1
1392,1,1
1368,1,1
1320,1,1
1296,1,1
16128,1,1
16104,1,1
14328,1,1
17280,1,2
17256,1,1
17232,1,2
17208,1,2
17184,1,2
17136,1,7
17064,1,1
17040,1,1
17016,1,1
16968,1,2
16944,1,1
16896,1,1
16848,1,2
16824,1,1
16800,1,2
16776,1,1
16752,1,2
16728,1,2
16680,1,1
16656,1,1
16632,1,2
16608,1,1
16560,1,1
16536,1,1
16512,1,2
16488,1,3
16440,1,2
16416,1,1
16344,1,1
16224,1,1
16200,1,3
16176,1,2
16152,1,1
16128,1,3
16080,1,1
16056,1,2
16032,1,1
15984,1,1
15960,1,2
15912,1,5
15888,1,1
15768,1,2
15744,1,1
15696,1,1
15672,1,1
15624,1,1
15600,1,1
15504,1,1
15456,1,1
15432,1,1
15408,1,1
15312,1,1
15288,1,1
15264,1,3
15240,1,1
14952,1,1
14784,1,1
14688,1,1
14544,1,1
14424,1,1
14376,1,1
14352,1,7
14232,1,1
14184,1,1
14160,1,1
14136,1,2
14064,1,2
14040,1,1
14016,1,1
13944,1,2
13872,1,1
13848,1,2
13728,1,1
13680,1,2
13656,1,1
13632,1,1
13512,1,1
13488,1,1
13464,1,1
13392,1,1
13368,1,1
13344,1,1
13272,1,1
13248,1,3
13080,1,1
13056,1,2
13008,1,1
12960,1,1
12936,1,1
12888,1,1
12744,1,1
12720,1,1
12672,1,1
12504,1,1
12312,1,1
12144,1,1
11688,1,1
11448,1,1
10416,1,1
10344,1,1
8880,1,1
2232,1,1
17208,1,2
17112,1,3
17016,1,1
16848,1,1
16800,1,5
16080,1,3
14088,1,1
14064,1,1
13968,1,2
13608,1,2
13536,1,1
13272,1,1
13056,1,1
12936,1,1
9960,1,1
8256,1,1
17064,1,1
16992,1,2
16920,1,1
16800,1,2
16752,1,2
16704,1,1
16656,1,1
16584,1,3
16272,1,1
16104,1,1
16032,1,1
16008,1,2
15912,1,2
15888,1,5
15864,1,1
15840,1,1
15768,1,3
15696,1,1
15672,1,1
15312,1,2
15072,1,1
14808,1,1
14760,1,1
14520,1,1
14160,1,1
13824,1,1
13032,1,1
12888,1,1
12696,1,1
12624,1,1
11760,1,1
10968,1,1
10896,1,1
10344,1,1
9408,1,1
4440,1,1
4032,1,1
1800,1,1
1344,1,1
16416,1,1
12192,1,1
12528,1,1
8760,1,3
8712,1,1
1080,1,1
960,1,1
816,1,1
16944,1,1
16848,1,1
16776,1,2
16752,1,1
16584,1,1
16560,1,2
16392,1,4
16272,1,1
16248,1,2
16056,1,1
15864,1,2
15816,1,1
15792,1,2
14184,1,1
14136,1,1
13776,1,1
13656,1,1
13608,1,1
13560,1,1
13536,1,1
13440,1,1
13416,1,1
13200,1,1
12984,1,1
12792,1,1
12600,1,1
12576,1,1
12528,1,1
12504,1,1
12456,1,1
11400,1,1
11376,1,1
11352,1,1
9648,1,1
7416,1,1
912,1,1
16584,1,1
16440,1,1
16416,1,1
16272,1,2
16224,1,1
15960,1,1
15576,1,1
15528,1,1
15480,1,3
15456,1,2
15432,1,4
15408,1,1
15384,1,3
15336,1,1
15312,1,1
15264,1,1
15240,1,1
15168,1,1
14928,1,1
14616,1,1
14592,1,1
14544,1,1
13848,1,2
13776,1,1
13632,1,2
13608,1,2
13560,1,1
13536,1,3
13512,1,1
13488,1,1
13368,1,1
13344,1,2
13272,1,1
13224,1,1
13056,1,1
12936,1,3
12768,1,1
12720,1,1
12696,1,2
12600,1,1
12552,1,1
12384,1,1
12360,1,1
12336,1,1
12240,1,2
12216,1,1
12168,1,1
9864,1,1
672,1,1
408,1,1
16560,1,1
16440,1,1
16368,1,1
16104,1,2
16056,1,1
15408,1,1
15360,1,1
15336,1,3
15312,1,7
15288,1,2
15264,1,1
15096,1,1
15072,1,1
15024,1,2
15000,1,1
14928,1,1
14856,1,1
14640,1,1
13992,1,1
13560,1,1
13536,1,1
13512,1,1
13464,1,3
13368,1,2
13344,1,1
13320,1,1
13296,1,1
13272,1,2
13248,1,1
13224,1,1
13152,1,1
12912,1,1
12840,1,2
12696,1,1
12648,1,2
12552,1,1
12528,1,2
12408,1,1
12360,1,1
12312,1,1
12288,1,1
12264,1,1
12240,1,1
12192,1,2
12168,1,1
12072,1,1
11976,1,1
10680,1,1
10008,1,1
9072,1,1
6864,1,1
5808,1,1
3792,1,1
2688,1,1
2592,1,1
1056,1,1
360,1,1
312,1,1
16128,1,1
16104,1,1
16056,1,1
15984,1,2
15960,1,1
15912,1,1
15840,1,2
15816,1,3
15792,1,1
15648,1,1
15528,1,1
15432,1,1
15408,1,1
15312,1,1
15288,1,1
15168,1,1
15072,1,6
15048,1,11
15024,1,7
14568,1,3
14184,1,2
14088,1,1
13608,1,1
13128,1,1
13104,1,1
12960,1,1
12360,1,1
12216,1,1
12120,1,1
12096,1,1
10968,1,1
10416,1,1
10080,1,1
8808,1,1
744,1,1
10032,1,1
15648,1,1
15624,1,1
15600,1,2
15336,1,2
15288,1,2
15096,1,1
15072,1,1
14856,1,1
14832,1,6
14784,1,2
14760,1,1
14664,1,1
14568,1,1
14544,1,1
13584,1,1
13248,1,1
13080,1,1
12984,1,1
12216,1,1
12048,1,1
10056,1,1
9384,1,1
8952,1,1
8616,1,1
15096,1,2
13992,1,1
13824,1,1
10488,1,1
11616,1,1
15840,1,8
15792,1,1
15528,1,1
15480,1,1
15336,1,1
15288,1,1
15264,1,1
14952,1,1
14832,1,1
14808,1,1
14736,1,6
14712,1,4
14184,1,1
14160,1,1
14088,1,1
12768,1,1
12744,1,1
12624,1,1
12336,1,1
12144,1,1
11664,1,1
11568,1,1
11400,1,2
11376,1,1
10944,1,1
10872,1,1
10416,1,1
7968,1,1
7728,1,1
7680,1,2
5832,1,1
15384,1,1
15360,1,1
15120,1,1
14592,1,2
14424,1,1
13560,1,1
13104,1,1
12888,1,1
12816,1,1
12576,1,1
12024,1,1
11688,1,1
10680,1,1
9984,1,2
9648,1,1
8208,1,1
7320,1,1
336,1,1
12264,1,1
14136,1,1
15696,1,1
15672,1,1
15360,1,2
15192,1,1
15096,1,2
15072,1,7
15048,1,1
15000,1,1
14976,1,1
14952,1,1
14928,1,3
14880,1,1
14832,1,1
14736,1,1
14616,1,1
14544,1,1
14520,1,1
14472,1,1
14448,1,4
14256,1,1
14208,1,1
14040,1,1
13848,1,1
12912,1,1
12528,1,2
12504,1,1
12480,1,1
12384,1,1
12360,1,2
12240,1,1
12048,1,1
12000,1,1
11904,1,1
11880,1,1
11832,1,1
11808,1,2
11616,1,5
11592,1,1
11544,1,1
11520,1,2
11448,1,1
11424,1,1
11400,1,1
11352,1,1
11328,1,1
11256,1,1
11184,1,2
11112,1,1
8424,1,1
7368,1,1
15528,1,1
15504,1,1
15072,1,1
14928,1,1
14904,1,1
14856,1,1
14784,1,1
14664,1,1
14448,1,1
14424,1,11
14400,1,12
14304,1,1
14208,1,1
14088,1,1
13896,1,1
13872,1,1
13800,1,1
13776,1,1
13752,1,1
12504,1,1
12360,1,1
12312,1,1
12240,1,1
12000,1,1
11832,1,1
11760,1,1
11664,1,3
11496,1,3
11352,1,1
11328,1,1
11208,1,1
11184,1,1
