qty,event,time
8,0,55
2,1,61
4,0,86
4,0,116
1,1,120
4,0,178
4,0,208
8,0,239
3,1,304
4,0,328
1,1,334
2,1,365
24,0,390
3,1,396
4,0,420
1,1,425
4,0,451
3,1,457
2,1,488
4,0,512
1,1,517
8,0,573
2,1,579
7,1,609
2,1,610
8,0,634
2,1,639
4,0,665
3,1,669
3,1,670
4,0,694
6,1,700
1,1,701
8,0,725
6,1,731
13,1,761
8,1,762
16,0,786
1,1,790
13,1,792
2,1,793
8,0,817
2,1,821
20,1,823
2,1,852
9,1,853
1,1,854
20,0,878
18,1,884
20,0,909
3,1,912
7,1,915
16,0,939
10,1,943
2,1,945
11,1,946
12575,0,970
13,1,974
1,1,975
13,1,976
18936,0,1000
8,1,1004
16,1,1005
2,1,1007
20571,0,1031
18,1,1035
6412,0,1059
9,1,1065
3,1,1066
31071,0,1090
35,1,1096
29227,0,1121
3,1,1126
14,1,1127
23778,0,1151
15,1,1157
14964,0,1182
17,1,1188
21569,0,1212
7,1,1218
9,1,1219
21133,0,1243
6390,0,1274
1,1,1280
7210,0,1304
3,1,1310
12952,0,1335
416,0,1365
44,0,1396
1076,0,1424
2284,0,1455
