time,event,qty
1202,1,2
1517,1,1
586,0,7
1202,0,14
1472,0,51
1473,0,53
1474,0,66
1479,0,14
1481,0,6
1482,0,12
1485,0,4
1486,0,6
1487,0,11
1488,0,6
1489,0,7
1491,0,72
1508,0,44
1509,0,34
1515,0,9
1516,0,18
1517,0,5
1521,0,78
1522,0,5
1523,0,24
1528,0,8
1529,0,8
1531,0,6
1538,0,4
1545,0,5
1551,0,11
1552,0,33
1558,0,9
1562,0,13
1565,0,9
1572,0,7
1573,0,26
1576,0,7
1578,0,10
1580,0,8
1582,0,64
1583,0,5
1584,0,5
1591,0,6
1594,0,8
1598,0,3
1608,0,21
1613,0,43
1618,0,8
1620,0,10
1625,0,10
1627,0,54
1629,0,30
1632,0,28
1634,0,19
1635,0,6
1636,0,44
1641,0,37
1644,0,12
1649,0,5
1650,0,5
1661,0,23
1663,0,8
1667,0,9
1671,0,13
1674,0,21
1677,0,6
1681,0,6
1683,0,8
1684,0,6
1685,0,22
1689,0,18
1690,0,10
1697,0,5
1702,0,7
1705,0,6
1709,0,11
1718,0,5
1719,0,10
1723,0,5
1735,0,6
1738,0,5
1741,0,21
1752,0,6
1753,0,18
1755,0,6
1758,0,6
1763,0,11
1766,0,163
1772,0,21
1773,0,7
1779,0,16
1780,0,11
1781,0,14
1790,0,6
1795,0,17
1800,0,46
1808,0,6
1811,0,8
1815,0,6
1822,0,5
1825,0,6
1826,0,16
